Barcodes,Bio Sample
bc1006--bc1067,bcp2-E06-bc1006--bc1067
bc1006--bc1068,bcp2-E07-bc1006--bc1068
bc1006--bc1069,bcp2-E08-bc1006--bc1069
bc1006--bc1070,bcp2-E09-bc1006--bc1070
bc1006--bc1071,bcp2-E10-bc1006--bc1071
bc1006--bc1072,bcp2-E11-bc1006--bc1072
bc1006--bc1073,bcp2-E12-bc1006--bc1073
bc1007--bc1050,bcp1-F01-bc1007--bc1050
bc1007--bc1051,bcp1-F02-bc1007--bc1051
bc1007--bc1052,bcp1-F03-bc1007--bc1052
bc1007--bc1053,bcp1-F04-bc1007--bc1053
bc1007--bc1054,bcp1-F05-bc1007--bc1054
bc1007--bc1055,bcp1-F06-bc1007--bc1055
bc1007--bc1056,bcp1-F07-bc1007--bc1056
bc1007--bc1057,bcp1-F08-bc1007--bc1057
bc1007--bc1058,bcp1-F09-bc1007--bc1058
bc1007--bc1059,bcp1-F10-bc1007--bc1059
bc1007--bc1060,bcp1-F11-bc1007--bc1060
bc1007--bc1061,bcp1-F12-bc1007--bc1061
bc1007--bc1062,bcp2-F01-bc1007--bc1062
bc1007--bc1063,bcp2-F02-bc1007--bc1063
bc1007--bc1064,bcp2-F03-bc1007--bc1064
bc1007--bc1065,bcp2-F04-bc1007--bc1065
bc1007--bc1066,bcp2-F05-bc1007--bc1066
bc1007--bc1067,bcp2-F06-bc1007--bc1067
bc1007--bc1068,bcp2-F07-bc1007--bc1068
bc1007--bc1069,bcp2-F08-bc1007--bc1069
bc1007--bc1070,bcp2-F09-bc1007--bc1070
bc1007--bc1071,bcp2-F10-bc1007--bc1071
bc1007--bc1072,bcp2-F11-bc1007--bc1072
bc1007--bc1073,bcp2-F12-bc1007--bc1073
bc1008--bc1050,bcp1-G01-bc1008--bc1050
bc1008--bc1051,bcp1-G02-bc1008--bc1051
bc1008--bc1052,bcp1-G03-bc1008--bc1052
bc1008--bc1053,bcp1-G04-bc1008--bc1053
bc1008--bc1054,bcp1-G05-bc1008--bc1054
bc1008--bc1055,bcp1-G06-bc1008--bc1055
bc1008--bc1056,bcp1-G07-bc1008--bc1056
bc1008--bc1057,bcp1-G08-bc1008--bc1057
bc1008--bc1058,bcp1-G09-bc1008--bc1058
bc1008--bc1059,bcp1-G10-bc1008--bc1059
bc1008--bc1060,bcp1-G11-bc1008--bc1060
bc1008--bc1061,bcp1-G12-bc1008--bc1061
bc1008--bc1062,bcp2-G01-bc1008--bc1062
bc1008--bc1063,bcp2-G02-bc1008--bc1063
bc1008--bc1064,bcp2-G03-bc1008--bc1064
bc1008--bc1065,bcp2-G04-bc1008--bc1065
bc1008--bc1066,bcp2-G05-bc1008--bc1066
bc1008--bc1067,bcp2-G06-bc1008--bc1067
bc1008--bc1068,bcp2-G07-bc1008--bc1068
bc1008--bc1069,bcp2-G08-bc1008--bc1069
bc1008--bc1070,bcp2-G09-bc1008--bc1070
bc1008--bc1071,bcp2-G10-bc1008--bc1071
bc1008--bc1072,bcp2-G11-bc1008--bc1072
bc1008--bc1073,bcp2-G12-bc1008--bc1073
bc1009--bc1050,bcp1-H01-bc1009--bc1050
bc1009--bc1051,bcp1-H02-bc1009--bc1051
bc1009--bc1052,bcp1-H03-bc1009--bc1052
bc1009--bc1053,bcp1-H04-bc1009--bc1053
bc1009--bc1054,bcp1-H05-bc1009--bc1054
bc1009--bc1055,bcp1-H06-bc1009--bc1055
bc1009--bc1056,bcp1-H07-bc1009--bc1056
bc1009--bc1057,bcp1-H08-bc1009--bc1057
bc1009--bc1058,bcp1-H09-bc1009--bc1058
bc1009--bc1059,bcp1-H10-bc1009--bc1059
bc1009--bc1060,bcp1-H11-bc1009--bc1060
bc1009--bc1061,bcp1-H12-bc1009--bc1061
bc1009--bc1062,bcp2-H01-bc1009--bc1062
bc1009--bc1063,bcp2-H02-bc1009--bc1063
bc1009--bc1064,bcp2-H03-bc1009--bc1064
bc1009--bc1065,bcp2-H04-bc1009--bc1065
bc1009--bc1066,bcp2-H05-bc1009--bc1066
bc1009--bc1067,bcp2-H06-bc1009--bc1067
bc1009--bc1068,bcp2-H07-bc1009--bc1068
bc1009--bc1069,bcp2-H08-bc1009--bc1069
bc1009--bc1070,bcp2-H09-bc1009--bc1070
bc1009--bc1071,bcp2-H10-bc1009--bc1071
bc1009--bc1072,bcp2-H11-bc1009--bc1072
bc1009--bc1073,bcp2-H12-bc1009--bc1073
bc1010--bc1050,bcp3-A01-bc1010--bc1050
bc1010--bc1051,bcp3-A02-bc1010--bc1051
bc1010--bc1052,bcp3-A03-bc1010--bc1052
bc1010--bc1053,bcp3-A04-bc1010--bc1053
bc1010--bc1054,bcp3-A05-bc1010--bc1054
bc1010--bc1055,bcp3-A06-bc1010--bc1055
bc1010--bc1056,bcp3-A07-bc1010--bc1056
bc1010--bc1057,bcp3-A08-bc1010--bc1057
bc1010--bc1058,bcp3-A09-bc1010--bc1058
bc1010--bc1059,bcp3-A10-bc1010--bc1059
bc1010--bc1060,bcp3-A11-bc1010--bc1060
bc1010--bc1061,bcp3-A12-bc1010--bc1061
bc1010--bc1062,bcp4-A01-bc1010--bc1062
bc1010--bc1063,bcp4-A02-bc1010--bc1063
bc1010--bc1064,bcp4-A03-bc1010--bc1064
bc1010--bc1065,bcp4-A04-bc1010--bc1065
bc1010--bc1066,bcp4-A05-bc1010--bc1066
bc1010--bc1067,bcp4-A06-bc1010--bc1067
bc1010--bc1068,bcp4-A07-bc1010--bc1068
bc1010--bc1069,bcp4-A08-bc1010--bc1069
bc1010--bc1070,bcp4-A09-bc1010--bc1070
bc1010--bc1071,bcp4-A10-bc1010--bc1071
bc1010--bc1072,bcp4-A11-bc1010--bc1072
bc1010--bc1073,bcp4-A12-bc1010--bc1073
bc1011--bc1050,bcp3-B01-bc1011--bc1050
bc1011--bc1051,bcp3-B02-bc1011--bc1051
bc1011--bc1052,bcp3-B03-bc1011--bc1052
bc1011--bc1053,bcp3-B04-bc1011--bc1053
bc1011--bc1054,bcp3-B05-bc1011--bc1054
bc1011--bc1055,bcp3-B06-bc1011--bc1055
bc1011--bc1056,bcp3-B07-bc1011--bc1056
bc1011--bc1057,bcp3-B08-bc1011--bc1057
bc1011--bc1058,bcp3-B09-bc1011--bc1058
bc1011--bc1059,bcp3-B10-bc1011--bc1059
bc1011--bc1060,bcp3-B11-bc1011--bc1060
bc1011--bc1061,bcp3-B12-bc1011--bc1061
bc1011--bc1062,bcp4-B01-bc1011--bc1062
bc1011--bc1063,bcp4-B02-bc1011--bc1063
bc1011--bc1064,bcp4-B03-bc1011--bc1064
bc1011--bc1065,bcp4-B04-bc1011--bc1065
bc1011--bc1066,bcp4-B05-bc1011--bc1066
bc1011--bc1067,bcp4-B06-bc1011--bc1067
bc1011--bc1068,bcp4-B07-bc1011--bc1068
bc1011--bc1069,bcp4-B08-bc1011--bc1069
bc1011--bc1070,bcp4-B09-bc1011--bc1070
bc1011--bc1071,bcp4-B10-bc1011--bc1071
bc1011--bc1072,bcp4-B11-bc1011--bc1072
bc1011--bc1073,bcp4-B12-bc1011--bc1073
bc1012--bc1050,bcp3-C01-bc1012--bc1050
bc1012--bc1051,bcp3-C02-bc1012--bc1051
bc1012--bc1052,bcp3-C03-bc1012--bc1052
bc1012--bc1053,bcp3-C04-bc1012--bc1053
bc1012--bc1054,bcp3-C05-bc1012--bc1054
bc1012--bc1055,bcp3-C06-bc1012--bc1055
bc1012--bc1056,bcp3-C07-bc1012--bc1056
bc1012--bc1057,bcp3-C08-bc1012--bc1057
bc1012--bc1058,bcp3-C09-bc1012--bc1058
bc1012--bc1059,bcp3-C10-bc1012--bc1059
bc1012--bc1060,bcp3-C11-bc1012--bc1060
bc1012--bc1061,bcp3-C12-bc1012--bc1061
bc1012--bc1062,bcp4-C01-bc1012--bc1062
bc1012--bc1063,bcp4-C02-bc1012--bc1063
bc1012--bc1064,bcp4-C03-bc1012--bc1064
bc1012--bc1065,bcp4-C04-bc1012--bc1065
bc1012--bc1066,bcp4-C05-bc1012--bc1066
bc1012--bc1067,bcp4-C06-bc1012--bc1067
bc1012--bc1068,bcp4-C07-bc1012--bc1068
bc1012--bc1069,bcp4-C08-bc1012--bc1069
bc1012--bc1070,bcp4-C09-bc1012--bc1070
bc1012--bc1071,bcp4-C10-bc1012--bc1071
bc1012--bc1072,bcp4-C11-bc1012--bc1072
bc1012--bc1073,bcp4-C12-bc1012--bc1073
bc1013--bc1050,bcp3-D01-bc1013--bc1050
bc1013--bc1051,bcp3-D02-bc1013--bc1051
bc1013--bc1052,bcp3-D03-bc1013--bc1052
bc1013--bc1053,bcp3-D04-bc1013--bc1053
bc1013--bc1054,bcp3-D05-bc1013--bc1054
bc1013--bc1055,bcp3-D06-bc1013--bc1055
bc1013--bc1056,bcp3-D07-bc1013--bc1056
bc1013--bc1057,bcp3-D08-bc1013--bc1057
bc1013--bc1058,bcp3-D09-bc1013--bc1058
bc1013--bc1059,bcp3-D10-bc1013--bc1059
bc1013--bc1060,bcp3-D11-bc1013--bc1060
bc1013--bc1061,bcp3-D12-bc1013--bc1061
bc1013--bc1062,bcp4-D01-bc1013--bc1062
bc1013--bc1063,bcp4-D02-bc1013--bc1063
bc1013--bc1064,bcp4-D03-bc1013--bc1064
bc1013--bc1065,bcp4-D04-bc1013--bc1065
bc1013--bc1066,bcp4-D05-bc1013--bc1066
bc1013--bc1067,bcp4-D06-bc1013--bc1067
bc1013--bc1068,bcp4-D07-bc1013--bc1068
bc1013--bc1069,bcp4-D08-bc1013--bc1069
bc1013--bc1070,bcp4-D09-bc1013--bc1070
bc1013--bc1071,bcp4-D10-bc1013--bc1071
bc1013--bc1072,bcp4-D11-bc1013--bc1072
bc1013--bc1073,bcp4-D12-bc1013--bc1073
bc1014--bc1050,bcp3-E01-bc1014--bc1050
bc1014--bc1051,bcp3-E02-bc1014--bc1051
bc1014--bc1052,bcp3-E03-bc1014--bc1052
bc1014--bc1053,bcp3-E04-bc1014--bc1053
bc1014--bc1054,bcp3-E05-bc1014--bc1054
bc1014--bc1055,bcp3-E06-bc1014--bc1055
bc1014--bc1056,bcp3-E07-bc1014--bc1056
bc1014--bc1057,bcp3-E08-bc1014--bc1057
bc1014--bc1058,bcp3-E09-bc1014--bc1058
bc1014--bc1059,bcp3-E10-bc1014--bc1059
bc1014--bc1060,bcp3-E11-bc1014--bc1060
bc1014--bc1061,bcp3-E12-bc1014--bc1061
bc1014--bc1062,bcp4-E01-bc1014--bc1062
bc1014--bc1063,bcp4-E02-bc1014--bc1063
bc1014--bc1064,bcp4-E03-bc1014--bc1064
bc1014--bc1065,bcp4-E04-bc1014--bc1065
bc1014--bc1066,bcp4-E05-bc1014--bc1066
bc1014--bc1067,bcp4-E06-bc1014--bc1067
bc1014--bc1068,bcp4-E07-bc1014--bc1068
bc1014--bc1069,bcp4-E08-bc1014--bc1069
bc1014--bc1070,bcp4-E09-bc1014--bc1070
bc1014--bc1071,bcp4-E10-bc1014--bc1071
bc1014--bc1072,bcp4-E11-bc1014--bc1072
bc1014--bc1073,bcp4-E12-bc1014--bc1073
bc1015--bc1050,bcp3-F01-bc1015--bc1050
bc1015--bc1051,bcp3-F02-bc1015--bc1051
bc1015--bc1052,bcp3-F03-bc1015--bc1052
bc1015--bc1053,bcp3-F04-bc1015--bc1053
bc1015--bc1054,bcp3-F05-bc1015--bc1054
bc1015--bc1055,bcp3-F06-bc1015--bc1055
bc1015--bc1056,bcp3-F07-bc1015--bc1056
bc1015--bc1057,bcp3-F08-bc1015--bc1057
bc1015--bc1058,bcp3-F09-bc1015--bc1058
bc1015--bc1059,bcp3-F10-bc1015--bc1059
bc1015--bc1060,bcp3-F11-bc1015--bc1060
bc1015--bc1061,bcp3-F12-bc1015--bc1061
bc1015--bc1062,bcp4-F01-bc1015--bc1062
bc1015--bc1063,bcp4-F02-bc1015--bc1063
bc1015--bc1064,bcp4-F03-bc1015--bc1064
bc1015--bc1065,bcp4-F04-bc1015--bc1065
bc1015--bc1066,bcp4-F05-bc1015--bc1066
bc1015--bc1067,bcp4-F06-bc1015--bc1067
bc1015--bc1068,bcp4-F07-bc1015--bc1068
bc1015--bc1069,bcp4-F08-bc1015--bc1069
bc1015--bc1070,bcp4-F09-bc1015--bc1070
bc1015--bc1071,bcp4-F10-bc1015--bc1071
bc1015--bc1072,bcp4-F11-bc1015--bc1072
bc1015--bc1073,bcp4-F12-bc1015--bc1073
bc1016--bc1050,bcp3-G01-bc1016--bc1050
bc1016--bc1051,bcp3-G02-bc1016--bc1051
bc1016--bc1052,bcp3-G03-bc1016--bc1052
bc1016--bc1053,bcp3-G04-bc1016--bc1053
bc1016--bc1054,bcp3-G05-bc1016--bc1054
bc1016--bc1055,bcp3-G06-bc1016--bc1055
bc1016--bc1056,bcp3-G07-bc1016--bc1056
bc1016--bc1057,bcp3-G08-bc1016--bc1057
bc1016--bc1058,bcp3-G09-bc1016--bc1058
bc1016--bc1059,bcp3-G10-bc1016--bc1059
bc1016--bc1060,bcp3-G11-bc1016--bc1060
bc1016--bc1061,bcp3-G12-bc1016--bc1061
bc1016--bc1062,bcp4-G01-bc1016--bc1062
bc1016--bc1063,bcp4-G02-bc1016--bc1063
bc1016--bc1064,bcp4-G03-bc1016--bc1064
bc1016--bc1065,bcp4-G04-bc1016--bc1065
bc1016--bc1066,bcp4-G05-bc1016--bc1066
bc1016--bc1067,bcp4-G06-bc1016--bc1067
bc1016--bc1068,bcp4-G07-bc1016--bc1068
bc1016--bc1069,bcp4-G08-bc1016--bc1069
bc1016--bc1070,bcp4-G09-bc1016--bc1070
bc1016--bc1071,bcp4-G10-bc1016--bc1071
bc1016--bc1072,bcp4-G11-bc1016--bc1072
bc1016--bc1073,bcp4-G12-bc1016--bc1073
bc1017--bc1050,bcp3-H01-bc1017--bc1050
bc1017--bc1051,bcp3-H02-bc1017--bc1051
bc1017--bc1052,bcp3-H03-bc1017--bc1052
bc1017--bc1053,bcp3-H04-bc1017--bc1053
bc1017--bc1054,bcp3-H05-bc1017--bc1054
bc1017--bc1055,bcp3-H06-bc1017--bc1055
bc1017--bc1056,bcp3-H07-bc1017--bc1056
bc1017--bc1057,bcp3-H08-bc1017--bc1057
bc1017--bc1058,bcp3-H09-bc1017--bc1058
bc1017--bc1059,bcp3-H10-bc1017--bc1059
bc1017--bc1060,bcp3-H11-bc1017--bc1060
bc1017--bc1061,bcp3-H12-bc1017--bc1061
bc1017--bc1062,bcp4-H01-bc1017--bc1062
bc1017--bc1063,bcp4-H02-bc1017--bc1063
bc1017--bc1064,bcp4-H03-bc1017--bc1064
bc1017--bc1065,bcp4-H04-bc1017--bc1065
bc1017--bc1066,bcp4-H05-bc1017--bc1066
bc1017--bc1067,bcp4-H06-bc1017--bc1067
bc1017--bc1068,bcp4-H07-bc1017--bc1068
bc1017--bc1069,bcp4-H08-bc1017--bc1069
bc1017--bc1070,bcp4-H09-bc1017--bc1070
bc1017--bc1071,bcp4-H10-bc1017--bc1071
bc1017--bc1072,bcp4-H11-bc1017--bc1072
bc1017--bc1073,bcp4-H12-bc1017--bc1073
